id,nom_clinique,avis
1,Clinique El Manar,"Personnel très professionnel et attentionné. Je recommande vivement !"
2,Clinique La Marsa,"Excellente expérience, clinique propre et médecins très compétents. Merci !"
3,Clinique du Carthage,"Prise en charge rapide et efficace. Je suis très satisfait."
4,Clinique de Tunis,"Service impeccable, le suivi est parfait."
5,Clinique Sidi Bou Saïd,"Clinique moderne et personnel très accueillant."
6,Clinique Ain Zaghouan,"Très bon service, chirurgien professionnel et ambiance rassurante."
7,Clinique El Manar 2,"Chirurgie réussie, résultat parfait. Merci à toute l’équipe !"
8,Clinique du Lac,"Les médecins sont excellents, le personnel est accueillant."
9,Clinique Soukra,"Accueil chaleureux, médecins professionnels. Recommande sans hésiter !"
10,Clinique El Kantaoui,"Clinique au top, tout était impeccable !"
11,Clinique Ariana,"Satisfait de la prise en charge. Très bon suivi postopératoire."
12,Clinique Carthage Plus,"Excellent accueil et service parfait. Je remercie toute l’équipe."
13,Clinique les Jasmins,"Accueil impeccable et soins parfaits. Je recommande !"

14,Clinique de la Médina,"Clinique correcte, service standard."
15,Clinique Al Menzah,"Clinique propre, service satisfaisant."
16,Clinique de l'Ariana,"Visite classique, prestation dans la moyenne."
17,Clinique Pasteur,"Consultation classique, cadre acceptable."
18,Clinique Ennasr,"Ni bon ni mauvais, prestation neutre."
19,Clinique de Ksar,"Clinique convenable, rien d’exceptionnel."
20,Clinique Medina,"Service ordinaire, expérience neutre."
21,Clinique El Mourouj,"Rien à signaler de particulier, tout s’est déroulé normalement."
22,Clinique Ibn Khaldoun,"Consultation simple, cadre convenable."
23,Clinique Monastir,"Service médical basique, sans problème notable."

24,Clinique Al Yasmine,"Accueil froid et médecins peu disponibles. Je suis très déçu."
25,Clinique de la Soukra,"Très longue attente, c’est inacceptable !"
26,Clinique El Menzeh,"Personnel désagréable et soins bâclés."
27,Clinique Carthage,"Expérience horrible, je déconseille fortement."
28,Clinique Tunis Sud,"Mauvaise organisation et accueil désagréable."
29,Clinique El Khadhra,"Consultation catastrophique, problème de coordination entre services."
30,Clinique Ariana Santé,"Service lent, dossier perdu, un vrai scandaleux traitement."
